Species,Genome Size (bp)
Mycobacterium intracellulare MOTT-02,5409696
Bacillus anthracis str. V770-NP-1R,5410397
Bacillus anthracis str. A16R,5410560
Leclercia sp. LSNIH1,5411940
Roseomonas gilardii,5412463
Mycobacterium intracellulare subsp. intracellulare,5412667
Rhodococcus sp. p52,5413283
Rufibacter tibetensis,5413467
Paraglaciecola psychrophila 170,5413691
Acidovorax sp. NCPPB 3576,5414205
Flavobacterium ginsengisoli,5414540
Sphingobium fuliginis ATCC 27551,5414624
Aquimarina sp. TRL1,5414780
Citrobacter sp. RHBSTW-00524,5414996
Bacillus sp. DU-106,5415320
Paenibacillus antarcticus,5415779
Xanthomonas prunicola,5415837
Metabacillus dongyingensis,5416110
Paenibacillus polymyxa E681,5416175
Pseudoalteromonas flavipulchra,5416459
Sphingobacterium sp. SYP-B4668,5417112
Thiorhodovibrio frisius,5417120
Klebsiella pneumoniae 30684/NJST258_2,5417216
Bacillus cereus B4264,5419036
Xanthomonas euvesicatoria pv. vesicatoria str. 85-10,5420152
Ralstonia sp. CP,5420363
Enterobacter cloacae complex sp. ECL404,5420719
Luteipulveratus mongoliensis,5420910
Mycolicibacterium neoaurum VKM Ac-1815D,5421267
Vibrio sp. STUT-A16,5423024
Salipiger profundus,5424264
Pseudomonas sp. GOM7,5424934
Pedobacter endophyticus,5426070
Flavobacterium flavigenum,5427275
Xanthomonas citri pv. glycines str. 12-2,5427348
Sphingobium sp. YBL2,5427419
Methanosarcina siciliae C2J,5427890
Escherichia coli str. Sanji,5428586
Pandoraea pnomenusa 3kgm,5429298
Pleurocapsa sp. FMAR1,5429540
Ralstonia solanacearum Po82,5430263
Anaerocolumna cellulosilytica,5430627
Pandoraea sp. XJJ-1,5430723
Bacillus cereus ATCC 14579,5431377
Hydrogenophaga sp. SL48,5433040
Frankia casuarinae,5433628
Sporomusa ovata DSM 2662,5433971
Pseudomonas mendocina NK-01,5434353
Kineococcus sp. NBC_00420,5434400
Xanthomonas citri pv. malvacearum,5434719
Klebsiella pneumoniae subsp. pneumoniae KPR0928,5436785
Mucilaginibacter sp. PAMB04168,5436820
Escherichia coli O104:H4 str. 2011C-3493,5437407
Escherichia coli O15:H18,5437935
Escherichia coli O104:H4 str. 2009EL-2050,5438174
Thalassospira marina,5438289
Bacillus sp. AR4-2,5438461
Gordonia sp. WA4-43,5438735
Bacillus sp. SH8-8,5439260
Citrobacter sp. RHBSTW-00570,5439368
Enhydrobacter sp.,5439728
Haloterrigena turkmenica DSM 5511,5440782
Escherichia coli Nissle 1917,5441200
Serratia sp. AS13,5442549
Serratia plymuthica AS9,5442880
Serratia sp. AS12,5443009
Pseudomonas sp. NyZ480,5443096
Natrinema gelatinilyticum,5443578
Klebsiella africana,5443802
Citrobacter rodentium ICC168,5444283
Herbaspirillum robiniae,5445269
Mycobacterium intracellulare subsp. yongonense,5445538
Mycobacterium intracellulare M.i.198,5445552
Escherichia coli E110019,5445710
Escherichia coli O104:H4 str. C227-11,5446006
Novosphingobium sp. RL4,5446125
Citrobacter sp. RHBSTW-00137,5447371
Chryseobacterium arthrosphaerae,5447405
Escherichia coli O55:H7 str. RM12579,5448306
Raoultella sp. X13,5448479
Bacillus cereus 03BB102,5449308
Hartmannibacter diazotrophicus,5449775
Escherichia coli O78:H4,5451302
Nodularia sphaerocarpa UHCC 0038,5451672
Escherichia coli O55:H7 str. CB9615,5452353
Vibrio sp. EJY3,5452646
Cytobacillus solani,5453361
Mycolicibacterium sp. MU0053,5453374
Pseudomonas sp. SK2,5455489
Bernardetia sp. MNP-M8,5455535
Massilia sp. PAMC28688,5455977
Vibrio sp. DW001,5456024
Xanthomonas hortorum pv. pelargonii,5456221
Novosphingobium pentaromativorans US6-1,5457578
Lentisphaera profundi,5457903
Klebsiella variicola At-22,5458505
Chryseobacterium carnipullorum,5459074
Comamonas sp. 7D-2,5459409
Ralstonia syzygii R24,5459644
Planctopirus limnophila DSM 3776,5460085
Crocosphaera subtropica ATCC 51142,5460377
Aquimarina sp. AD1,5461560
Klebsiella pneumoniae KCTC 2242,5462423
Pontibacter korlensis,5462537
Desulfogranum marinum,5464443
Pantoea agglomerans,5464831
Herbaspirillum sp. meg3,5465798
Pseudomonas sp. 905_Psudmo1,5466436
Thiorhodovibrio litoralis,5466623
Serratia plymuthica S13,5467306
Brucella pituitosa,5467370
Rhodopseudomonas palustris,5467641
Rhodopseudomonas palustris CGA009,5467641
Paroceanicella profunda,5468583
Parashewanella spongiae,5468749
Mycobacterium sp. 3-98,5468924
Metabacillus sp. B2-18,5469024
Cedecea neteri,5469298
Bacillus sp. A260,5469565
Escherichia coli O103:H2,5470829
Enterobacter sp. JBIWA003,5471029
Methylorubrum extorquens PA1,5471154
Bacteroides uniformis,5471617
Pseudoalteromonas sp. GCY,5472350
Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,5472672
Rahnella victoriana,5472828
Methylorubrum sp. GM97,5472957
Leisingera thetidis,5473091
Escherichia coli O121 str. RM8352,5474275
Serratia inhibens PRI-2C,5474685
Herbaspirillum sp. DW155,5474944
Rhizobium sp. SSA_523,5475343
Escherichia coli O145 str. RM9872,5475442
Mycobacterium avium 104,5475491
Prescottella soli,5475811
Escherichia coli PA11,5476635
Bacillus sp. HNR-4,5478137
Octadecabacter arcticus 238,5478249
Thiorhodovibrio winogradskyi,5478625
Salmonella enterica subsp. enterica serovar Worthington,5479495
Escherichia coli O121:H19,5479551
Aeromonas sp. ASNIH4,5480196
Leptolyngbya sp. O-77,5480261
Enterobacter sp. MGH 14,5481241
Roseomonas fluvialis,5481269
Citrobacter sp. C13,5481318
Mycolicibacterium chitae,5482061
Paracidovorax avenae ATCC 19860,5482170
Kordia sp. SMS9,5482391
Salmonella enterica subsp. diarizonae serovar 48:i:z,5482544
Escherichia coli O25b:H4,5483091
Flavobacterium sp. YJ01,5483844
Mycolicibacterium pulveris,5484749
'Nostoc azollae' 0708,5486145
Bacillus cereus biovar anthracis str. CI,5486649
Mycobacteroides abscessus subsp. abscessus,5486769
Rhodoferax sp. GW822-FHT02A01,5486892
Bacillus anthracis str. SVA11,5487517
Porifericola rhodea,5487627
Chania multitudinisentens RB-25,5488183
Vibrio sp. dhg,5488599
Pluralibacter gergoviae,5489680
Bacillus anthracis str. BF1,5490208
Thermoleptolyngbya sp. PKUAC-SCTB121,5490383
Brevibacillus sp. JNUCC-41,5490698
Citrobacter sp. RHBSTW-01013,5490700
Klebsiella sp. ZJOU C1,5491622
Microcystis aeruginosa FD4,5493112
Aeromonas allosaccharophila,5493184
Citrobacter sp. RHBSTW-00424,5494257
Citrobacter sp. RHBSTW-00053,5494336
Escherichia coli O25b:H4-ST131,5494413
Comamonas sp. 7D-2evo2,5494990
Bacillus anthracis str. H9401,5495471
Methylorubrum sp. B1-46,5496197
Flavobacterium nitrogenifigens,5497186
Escherichia coli APEC O1,5497653
Pseudomonas hydrolytica,5497959
Blautia pseudococcoides,5498201
Buttiauxella sp. 3AFRM03,5498356
Citrobacter sp. RHBSTW-00678,5498621
Bacteroides caccae CL03T12C61,5499725
Aquimarina sp. Aq107,5500051
Xanthomonas euvesicatoria,5500184
Anaerocolumna sedimenticola,5500435
Bacillus sp. N447-1,5500489
Kordia antarctica,5500985
Microcystis aeruginosa,5501105
Vibrio porteresiae DSM 19223,5501118
Escherichia coli O104:H4,5501145
Dyella sp. GSA-30,5501810
Rhodococcus fascians D188,5502110
Paracoccus versutus,5502442
Vibrio diabolicus,5502567
Enterobacter cloacae ECNIH2,5502685
Chryseobacterium sp. StRB126,5503743
Bacillus anthracis str. A0248,5503926
Bacillus anthracis str. 'Ames Ancestor',5503926
Granulicella tundricola MP5ACTX9,5503984
Comamonas sp. 7D-2evo1,5504412
Enterobacter cloacae complex sp. ECL405,5504413
Escherichia coli O2:K1:H5,5504613
Bacillus anthracis str. Turkey32,5505298
Bacillus anthracis str. A16,5505446
Escherichia coli PA2,5505582
Mycobacterium marseillense,5505821
Thermobifida halotolerans,5506152
Bacillus anthracis str. Vollum,5506189
Rhizobium sp. ZX09,5506306
Bacillus anthracis str. CDC 684,5506763
Clostridium tagluense,5507024
Pseudomonas sp. AH2,5508962
Herbaspirillum seropedicae,5509723
Pseudomonas sp. LTR0,5509927
Bosea sp. PAMC 26642,5510355
Clostridium estertheticum,5510965
Caballeronia sp. SL2Y3,5511597
Klebsiella pneumoniae subsp. pneumoniae Ecl8,5511600
Bacillus nitratireducens,5511760
Pseudomonas poae RE*1-1-14,5512241
Petroclostridium sp. X23,5512510
Citrobacter sp. CF971,5512617
Flavobacterium endoglycinae,5513159
Herbaspirillum seropedicae SmR1,5513887
Serratia plymuthica RVH1,5514320
Halomonas sp. PA16-9,5515510
Gordonia hongkongensis,5516413
Escherichia coli Xuzhou21,5516736
Paenibacillus bovis,5517199
Shewanella sediminis HAW-EB3,5517674
Agrobacterium larrymoorei,5517760
Grimontia kaedaensis,5519219
Shewanella sp. LC6,5519632
Agrobacterium sp. CGMCC 11546,5520332
Bacillus sp. SYJ,5520756
Pseudomonas graminis,5521192
Ralstonia syzygii subsp. indonesiensis,5521407
Leptospira interrogans,5521455
Citrobacter sp. RHBSTW-00859,5521511
Zobellia galactanivorans,5521712
Salipiger sp. CCB-MM3,5522061
Mycobacterium paraterrae,5522624
Priestia megaterium QM B1551,5523192
Klebsiella pneumoniae UHKPC07,5523776
Escherichia coli O103:H2 str. 12009,5524860
Thermoleptolyngbya sichuanensis A183,5525100
Shewanella baltica OS117,5526018
Vibrio cyclitrophicus,5526185
Acuticoccus sp. I52.16.1,5526513
Pseudomonas muyukensis,5527654
Panacibacter ginsenosidivorans,5528026
Isosphaera pallida ATCC 43644,5529304
Pannonibacter phragmitetus BB,5530656
Rahnella sikkimica,5530672
Mycobacterium seoulense,5531300
Flavobacterium ginsenosidimutans,5532155
Agrobacterium rubi,5532448
Bordetella sp. H567,5532470
Serratia sp. HRI,5533130
Photobacterium sp. GSS17,5533175
Kosakonia oryzae,5536648
Paucibacter aquatile,5538945
Bacteroides sp. PHL 2737,5539106
Pseudomonas sp. LTJR-52,5539211
Xanthomonas sp. WG16,5539296
Methylobacterium radiodurans,5539695
Vibrio tubiashii ATCC 19109,5540337
Rhizorhabdus dicambivorans,5541299
Citrobacter sp. B72,5542453
Chenggangzhangella methanolivorans,5542510
Salmonella enterica subsp. arizonae,5542871
Niabella yanshanensis,5543186
Citrobacter sp. MGH105,5543425
Stanieria cyanosphaera PCC 7437,5544990
Pantoea sp. BJ2,5545588
Pseudomonas sp. BT-42-2,5545896
Photobacterium sanguinicancri,5547475
Shewanella baltica OS195,5547544
Gordonia sp. SMJS1,5547577
Klebsiella pneumoniae 500_1420,5547643
Pseudomonas sp. AA-38,5548222
Herbaspirillum frisingense,5548491
Gibbsiella quercinecans,5548506
Vibrio natriegens,5549219
Pseudoalteromonas viridis,5549631
Echinicola soli,5550304
Serratia sp. 1D1416,5552047
Xanthomonas citri pv. durantae,5553161
Bradyrhizobium sediminis,5554208
Flavobacterium collinsii,5554530
Klebsiella sp. K4,5556679
Pseudomonas sp. Marseille-Q3773,5557112
Thaumasiovibrio subtropicus,5557717
Vibrio europaeus,5558698
Escherichia coli O145:H28 str. RM13516,5559008
Escherichia coli O145:H28 str. RM12761,5559014
Bosea beijingensis,5560387
Flavobacterium sp. KACC 22763,5561005
Enterobacter cloacae complex sp. ECL411,5561019
Bacteroides salyersiae,5561372
Sphingobacterium bambusae,5561552
Parabacteroides distasonis,5562109
Arthrobacter sp. 24S4-2,5563753
Sphingobium sp. YG1,5563895
Flavobacterium sp. MDT1-60,5563897
Escherichia coli O10:H32,5564014
Pseudomonas sp. p1(2021b),5565255
Mycobacterium sp. 5-140-3-2,5565963
Mycobacterium sp. 5-140-3-1,5566011
Escherichia coli O111:H-,5566342
Escherichia coli PA8,5568137
Peribacillus butanolivorans,5568346
Vibrio chagasii,5569803
Sphingobium sp. YC-XJ3,5570426
Paenibacillus sp. RUD330,5572653
Pseudoalteromonas piscicida,5575333
Massilia varians,5575375
Paenibacillus durus ATCC 35681,5575484
Modestobacter italicus,5575517
Pseudomonas sp. MH10,5575862
Escherichia coli O145,5576061
Sagittula sp. P11,5576178
Halomicronema hongdechloris C2206,5577845
Pseudomonas chengduensis,5579170
Citrobacter sp. RHBSTW-00821,5580368
Xanthomonas citri pv. glycines,5581022
Mycobacterium spongiae,5581157
Mycobacterium colombiense CECT 3035,5581643
Citrobacter sp. RHBSTW-00446,5582599
Tellurirhabdus rosea,5582807
Sphingomonas sp. QA11,5582810
Escherichia coli O157:H7 str. SS52,5583430
Paenibacillus sp. URB8-2,5583866
Pseudomonas sp. MH9.2,5584024
Acidovorax sp. GBBC 712,5586262
Ralstonia solanacearum MolK2,5586409
Neobacillus sp. WH10,5588297
Escherichia coli NCCP15648,5588834
Bacillus cereus AH820,5588834
Grimontia sp. NTOU-MAR1,5588994
Mycobacterium intracellulare subsp. intracellulare MTCC 9506,5589007
Bacillus cereus D17,5590358
Serratia sp. P2ACOL2,5590417
Rhodococcus pyridinivorans SB3094,5590512
Klebsiella aerogenes EA1509E,5591105
Vibrio sp. CB1-14,5591686
Pandoraea fibrosis,5592065
Pararoseomonas sp. SCSIO 73927,5592142
Acidovorax sp. NCPPB 3859,5593754
Escherichia coli O157:H7 str. Sakai,5594605
Bacillus pacificus,5594640
Xanthomonas citri pv. citri,5596105
Mycobacterium sp. 2-64,5596222
Rhodococcus sp. 2G,5596514
Pseudomonas sp. BJP69,5597068
Verminephrobacter eiseniae EF01-2,5597943
Enterobacter cloacae subsp. cloacae ATCC 13047,5598796
Methylobacterium sp. AMS5,5599206
Phytobacter sp. SCO41,5599325
Collimonas fungivorans,5599729
Chryseobacterium nakagawai,5602501
Metabacillus sediminilitoris,5602542
Brevibacillus borstelensis,5602664
Escherichia coli O39:NM str. F8704-2,5603010
Paenibacillus sp. FSL R10-2782,5603820
Mycobacteroides immunogenum,5604845
Citrobacter sp. RHBSTW-00903,5605421
Ralstonia solanacearum PSI07,5605618
Xanthomonas citri,5606038
Chryseobacterium gleum,5606922
Mycobacterium basiliense,5607630
Pseudomonas xantholysinigenes,5607668
Photobacterium sp. TY1-4,5607670
Echinicola vietnamensis DSM 17526,5608040
Bacillus sp. FDAARGOS_235,5608392
Klebsiella sp. LY,5608553
Pandoraea apista,5609637
Flavobacterium sp. N2469,5610841
Flavobacterium plurextorum,5610911
Herbaspirillum rubrisubalbicans M1,5611261
Neobacillus sp. PS3-12,5612023
Vibrio hyugaensis,5612082
Pseudomonas sp. NY5710,5612807
Klebsiella sp. WP3-W18-ESBL-02,5612858
Ralstonia nicotianae,5613239
Mycobacterium sp. MOTT36Y,5613626
Rahnella aceris,5614252
Enterobacter asburiae,5615356
Mycobacterium sp. NBC_00419,5615436
Herbaspirillum rubrisubalbicans,5617593
Chryseobacterium lactis,5618212
Gloeocapsopsis dulcis,5618434
Escherichia coli O157:H7 str. F8092B,5618714
Mucilaginibacter sp. PAMB04274,5618755
Saccharibacillus brassicae,5619468
Bosea sp. RAC05,5620120
Crinalium epipsammum PCC 9333,5620407
Azotobacter vinelandii,5620870
Rhizobium sp. 32-5/1,5621108
Anaerocolumna chitinilytica,5621910
Escherichia coli O157:H7 str. TW14359,5622737
Mycolicibacterium holsaticum DSM 44478 = JCM 12374,5623714
Vibrio sp. SCSIO 43133,5625376
Xanthomonas hortorum pv. gardneri,5625449
Citrobacter sp. RHBSTW-00887,5625488
Vallitalea guaymasensis,5626074
Pseudomonas quebecensis,5626354
Citrobacter sp. BIDMC108,5627653
Niabella ginsenosidivorans,5627734
Ralstonia solanacearum,5629002
Citrobacter freundii complex sp. CFNIH4,5629494
Nakamurella sp. PAMC28650,5629850
Pseudomonas sp. FP2254,5631378
Phototrophicus methaneseepsis,5631885
Rhodopseudomonas boonkerdii,5632343
Lacrimispora xylanisolvens,5633035
Aeromonas hydrophila,5633455
Klebsiella sp. P1CD1,5633647
Flavobacterium sp. KACC 22758,5633897
Mycolicibacterium litorale,5634149
Vibrio coralliilyticus OCN008,5634694
Citrobacter freundii complex sp. CFNIH3,5634842
Escherichia coli UMNF18,5635305
Flavobacterium humidisoli,5636211
Brevibacillus ruminantium,5636736
Vibrio celticus,5636967
Escherichia sp. HH154_1D,5637404
Pseudomonas sp. S06B 330,5637435
Thermomonospora curvata DSM 43183,5639016
uncultured Cohaesibacter sp.,5640017
Paenibacillus sp. lzh-N1,5641488
Dolichospermum sp. UHCC 0315A,5642022
Bacillus thuringiensis BMB171,5643051
Paenibacillus brasilensis,5643381
Brevibacillus sp. NSP2.1,5643637
Collimonas arenae,5644972
Ochrobactrum quorumnocens,5645291
Bacillus sp. BD59S,5645291
Pseudomonas sp. R1-43-08,5645326
Pseudoalteromonas maricaloris,5645692
Peribacillus simplex NBRC 15720 = DSM 1321,5645783
Pseudomonas sp. R32,5646108
Thalassobaculum sp. OXR-137,5646840
Bosea sp. ANAM02,5647487
Klebsiella sp. KPN54798,5647734
Occultella kanbiaonis,5648255
Chitinimonas koreensis,5648696
Klebsiella sp. WP3-S18-ESBL-05,5649038
Phenylobacterium montanum,5649484
Thiocapsa bogorovii,5649927
Photobacterium swingsii,5650079
Paenibacillus sp. FSL W8-1187,5650220
Candidatus Koribacter versatilis Ellin345,5650368
Klebsiella sp. P1954,5650766
Agrobacterium sp. T29,5651790
Pseudomonas sp. SWI6,5652054
Desulfosediminicola ganghwensis,5653142
Pseudomonas sp. M2(2023),5654285
Escherichia sp. KS167_9B,5654357
Pseudoalteromonas sp. JC3,5655084
Escherichia coli O157:H7 str. SS17,5655941
Paenibacillus sp. FSL W8-0186,5657310
Mycolicibacterium duvalii,5657388
Desulforapulum autotrophicum HRM2,5657782
Pseudanabaena sp. ABRG5-3,5657972
Paenibacillus stellifer,5658798
Caulobacter flavus,5659202
Vibrio pomeroyi,5659581
Hungatella hathewayi WAL-18680,5662031
Mycobacterium intracellulare subsp. yongonense 05-1390,5662088
Edaphobacter lichenicola,5662239
Pseudomonas sp. S11A 273,5662674
Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001,5662787
Pseudomonas sp. FP2309,5663164
Pseudomonas sp. B21-036,5665049
Rhodococcus sp. MTM3W5.2,5665081
Flavivirga eckloniae,5665358
Brevibacillus sp. FSL K6-2834,5665766
Escherichia coli UMNK88,5666764
Pseudomonas sp. TMW 2.1634,5666948
Sinorhizobium sp. BG8,5667563
Vibrio bathopelagicus,5668207
Hydrogenophaga taeniospiralis,5668326
Enterobacter hormaechei,5668552
Neobacillus novalis,5668946
Pannonibacter phragmitetus,5669701
Microcystis aeruginosa str. Chao 1910,5669822
Enterobacter kobei,5669901
Agrobacterium fabrum str. C58,5674258
Sphingobium sp. WTD-1,5674265
Natrinema sp. SYSU A 869,5674674
Pseudoalteromonas sp. M8,5674823
Methylomonas sp. UP202,5675881
Escherichia coli O141:H4,5676370
Klebsiella sp. ZYC-1,5676798
Haloferula helveola,5677198
Bacillus sp. S3,5677811
Xanthomonas hortorum pv. vitians,5678543
Bacteroides nordii,5678582
Pseudomonas sp. SK,5679110
Brevibacillus agri,5679319
Escherichia coli O145:H28,5679872
Escherichia coli O45:H2,5680623
Mycolicibacterium grossiae,5681602
Roseateles depolymerans,5681722
Klebsiella pneumoniae subsp. pneumoniae HS11286,5682322
Microlunatus phosphovorus NM-1,5683123
Pseudomonas tructae,5685196
Agrobacterium sp. 13-2099-1-2,5686477
Microcystis panniformis FACHB-1757,5686839
Caulobacter segnis,5687505
Bacillus sp. DX3.1,5688347
Citrobacter freundii complex sp. CFNIH9,5688355
Paenibacillus hunanensis,5688415
Photorhabdus laumondii subsp. laumondii,5688984
Photorhabdus laumondii subsp. laumondii TTO1,5688987
Pseudomonas sp. R11-23-07,5689077
Pseudomonas sp. LS1212,5689345
Roseomonas sp. OT10,5689429
Bacillus pseudomycoides,5689465
Muricauda sp. SCSIO 64092,5689803
Enterobacter roggenkampii,5689850
Sagittula sp. MA-2,5690110
Cytobacillus pseudoceanisediminis,5690443
uncultured Vibrio sp.,5691095
Citrobacter portucalensis,5691752
Streptomyces gobiensis,5691859
Ralstonia solanacearum CFBP2957,5692289
Martelella mediterranea DSM 17316,5693067
Klebsiella sp. w6,5693148
Echinicola marina,5693670
Paenibacillus sp. 481,5693878
Ralstonia syzygii,5694719
Klebsiella pneumoniae subsp. pneumoniae MGH 78578,5694894
Clostridium drakei,5695241
Serratia plymuthica,5695428
Vreelandella titanicae,5695972
Pseudomonas sp. MH9.3,5696094
Pseudomonas sp. ATCC 13867,5696307
Bacillus paramobilis,5696471
Mycolicibacterium anyangense,5696751
Nocardioides sp. QY071,5697957
Novosphingobium kaempferiae,5698134
Natronosporangium hydrolyticum,5699854
Klebsiella pneumoniae subsp. ozaenae,5699947
Salmonella enterica,5700547
Bacillus sp. FDAARGOS_527,5701116
Pseudomonas sp. 15A4,5702273
Aneurinibacillus sp. Ricciae_BoGa-3,5702964
Agrobacterium cucumeris,5703077
Escherichia coli O157:H7 str. EC4115,5704171
Burkholderia singularis,5705688
Brevibacillus laterosporus,5706749
Acidovorax sp. GBBC 1281,5708010
Citrobacter sp. RHBSTW-00881,5709006
Xanthomonas citri pv. vignicola,5710499
Klebsiella pneumoniae DMC1097,5710688
Citrobacter braakii,5711529
Enterobacter ludwigii,5711988
Aquipluma nitroreducens,5712279
Rhodococcus sp. W8901,5713496
